Symbol,National Common Name,Family,Author
200,2,25,42
200,2,25,216
201,162,26,36
202,163,25,156
203,163,25,217
203,2,25,203
203,2,25,5
203,2,25,218
203,2,25,219
203,2,25,218
203,2,25,6
203,2,25,215
204,164,21,14
205,165,21,36
206,166,23,23
207,167,23,23
208,167,23,220
208,2,23,200
208,2,23,18
208,2,23,42
209,168,8,58
209,2,8,6
209,2,8,25
209,2,8,221
209,2,8,222
209,2,8,65
209,2,8,223
209,2,8,6
210,169,14,201
210,2,14,224
210,2,14,40
210,2,14,40
210,2,14,42
210,2,14,42
211,170,23,36
211,2,23,203
212,171,26,163
212,2,26,225
212,2,26,226
213,172,25,215
214,173,24,154
215,174,8,14
215,2,8,14
215,2,8,25
215,2,8,112
215,2,8,219
216,175,8,36
217,175,8,227
217,2,8,25
218,176,23,228
218,2,23,7
218,2,23,94
218,2,23,94
218,2,23,162
218,2,23,7
218,2,23,229
218,2,23,200
218,2,23,230
218,2,23,231
218,2,23,7
218,2,23,228
218,2,23,14
218,2,23,127
218,2,23,23
219,177,14,225
220,177,14,232
220,2,14,233
220,2,14,5
220,2,14,7
220,2,14,42
220,2,14,7
220,2,14,224
220,2,14,4
221,178,23,23
222,179,27,36
223,180,16,4
224,181,8,6
224,2,8,38
224,2,8,103
225,182,8,58
226,183,27,36
226,2,27,234
227,184,8,36
227,2,8,58
228,185,27,235
228,2,27,211
228,2,27,236
228,2,27,9
229,186,25,9
229,2,25,237
230,187,17,23
231,188,28,238
231,2,28,239
232,189,6,36
232,2,6,74
233,190,27,240
234,190,27,85
234,2,27,43
234,2,27,241
235,191,27,85
235,2,27,241
235,2,27,242
236,192,25,36
237,193,8,4
237,2,8,6
237,2,8,122
237,2,8,42
237,2,8,42
238,194,8,36
238,2,8,58
239,195,2,243
239,2,2,58
239,2,2,13
239,2,2,13
239,2,2,27
239,2,2,36
240,196,6,25
241,197,8,25
241,2,8,165
241,2,8,62
241,2,8,126
241,2,8,40
241,2,8,6
241,2,8,14
