Symbol,Synonym Symbol,Scientific Name with Author,National Common Name,Family
ATGR,ABAB3,Atriplex graciliflora M.E. Jones,slenderflower saltbush,Chenopodiaceae
ATHO,ABAB3,Atriplex hortensis L.,garden orache,Chenopodiaceae
ATHO,ATAC3,Atriplex acuminata Waldst. & Kit.,rubber rabbitbrush,Chenopodiaceae
ATHO,ATHON,Atriplex hortensis L. ssp. nitens (Schkuhr) E. Pons,rubber rabbitbrush,Chenopodiaceae
ATHO,ATHOA,Atriplex hortensis L. var. atrosanguinea hort.,rubber rabbitbrush,Chenopodiaceae
ATHO,ATHOR,Atriplex hortensis L. var. rubra L.,rubber rabbitbrush,Chenopodiaceae
ATHO,ATNI80,"Atriplex nitens Schkuhr, nom. illeg.",rubber rabbitbrush,Chenopodiaceae
ATHYR,ABAB3,Athyrium Roth,ladyfern,Dryopteridaceae
ATMI2,ABAB3,Atriplex micrantha Ledeb.,twoscale saltbush,Chenopodiaceae
ATMI2,ATHE,Atriplex heterosperma Bunge,rubber rabbitbrush,Chenopodiaceae
ATOB,ABAB3,Atriplex obovata Moq.,mound saltbush,Chenopodiaceae
ATPA4,ABAB3,Atriplex patula L.,spear saltbush,Chenopodiaceae
ATPA4,ATPAB,Atriplex patula L. var. bracteata auct. non Westerlund,rubber rabbitbrush,Chenopodiaceae
ATPA4,ATPAE,Atriplex patula L. var. erecta (Huds.) Lange,rubber rabbitbrush,Chenopodiaceae
ATPA4,ATPAJ,Atriplex patula L. var. japonica Level.,rubber rabbitbrush,Chenopodiaceae
ATPA4,ATPAP3,Atriplex patula L. var. patula,rubber rabbitbrush,Chenopodiaceae
ATPA8,ABAB3,Atriplex pachypoda Stutz & G.L. Chu,thickfoot saltbush,Chenopodiaceae
ATPA8,ATARR,Atriplex argentea Nutt. var. rydbergii (Standl.) S.L. Welsh,rubber rabbitbrush,Chenopodiaceae
ATPO2,ABAB3,Atriplex powellii S. Watson,Powell's saltweed,Chenopodiaceae
ATPR,ABAB3,Atriplex prostrata Bouchér ex DC.,triangle orache,Chenopodiaceae
ATPR,ATHA,"Atriplex hastata L., nom. utique rej.",rubber rabbitbrush,Chenopodiaceae
ATPR,ATLA3,Atriplex latifolia Wahlenb.,rubber rabbitbrush,Chenopodiaceae
ATPR,ATPAH3,"Atriplex patula L. ssp. hastata (L.) H.M. Hall & Clem., nom. utique rej.",rubber rabbitbrush,Chenopodiaceae
ATPR,ATPAH2,"Atriplex patula L. var. hastata (L.) A. Gray, nom. utique rej.",rubber rabbitbrush,Chenopodiaceae
ATPR,ATPAT,Atriplex patula L. var. triangularis (Willd.) Thorne & S.L. Welsh,rubber rabbitbrush,Chenopodiaceae
ATPR,ATPRT,Atriplex prostrata Bouchér ex DC. var. triangularis (Willd.) Rauschert,rubber rabbitbrush,Chenopodiaceae
ATPR,ATTR2,Atriplex triangularis Willd.,rubber rabbitbrush,Chenopodiaceae
ATRIP,ABAB3,Atriplex L.,saltbush,Chenopodiaceae
ATRO,ABAB3,Atriplex rosea L.,tumbling saltweed,Chenopodiaceae
ATSA,ABAB3,Atriplex saccaria S. Watson,sack saltbush,Chenopodiaceae
ATSA,ATSAC2,"Atriplex saccaria S. Watson var. cornuta (M.E. Jones) S.L. Welsh, nom. inq.",rubber rabbitbrush,Chenopodiaceae
ATSU2,ABAB3,Atriplex subspicata (Nutt.) Rydb.,saline saltbush,Chenopodiaceae
ATSU2,ATPAH,Atriplex patula L. ssp. hastata sensu H.M. Hall & Clem. p.p.,rubber rabbitbrush,Chenopodiaceae
ATSU2,ATPAS2,Atriplex patula L. ssp. subspicata (Nutt.) Fosberg,rubber rabbitbrush,Chenopodiaceae
ATSU2,ATPAS3,Atriplex patula L. var. subspicata (Nutt.) S. Watson,rubber rabbitbrush,Chenopodiaceae
ATTE,ABAB3,Atriplex tenuissima A. Nelson,slender saltbush,Chenopodiaceae
ATTE,ATWOT,Atriplex wolfii S. Watson var. tenuissima (A. Nelson) S.L. Welsh,rubber rabbitbrush,Chenopodiaceae
ATTR,ABAB3,Atriplex truncata (Torr. ex S. Watson) A. Gray,wedgescale saltbush,Chenopodiaceae
ATTR3,ABAB3,Atriplex tridentata Kuntze,basin saltbush,Chenopodiaceae
ATTR3,ATGAT,Atriplex gardneri (Moq.) D. Dietr. var. tridentata (Kuntze) S.L. Welsh,rubber rabbitbrush,Chenopodiaceae
ATTR3,ATGAU,Atriplex gardneri (Moq.) D. Dietr. var. utahensis (M.E. Jones) Dorn,rubber rabbitbrush,Chenopodiaceae
ATTR3,ATNU4,Atriplex nuttallii auct. non S. Watson p.p.,rubber rabbitbrush,Chenopodiaceae
ATTR3,ATNUT2,Atriplex nuttallii S. Watson ssp. tridentata (Kuntze) H.M. Hall & Clem.,rubber rabbitbrush,Chenopodiaceae
ATWO,ABAB3,Atriplex wolfii S. Watson,Wolf's saltweed,Chenopodiaceae
AURIN,ABAB3,Aurinia Desv.,aurinia,Brassicaceae
AUSA,ABAB3,Aurinia saxatilis (L.) Desv.,basket of gold,Brassicaceae
AUSA,AESA,Aethionema saxatile (L.) R. Br.,rubber rabbitbrush,Brassicaceae
AUSA,ALSA8,Alyssum saxatile L.,rubber rabbitbrush,Brassicaceae
AUSA,ALSAC2,Alyssum saxatile L. var. compactum hort.,rubber rabbitbrush,Brassicaceae
AVENA,ABAB3,Avena L.,oat,Poaceae
AVENU,ABAB3,Avenula (Dumort.) Dumort.,oatgrass,Poaceae
AVFA,ABAB3,Avena fatua L.,wild oat,Poaceae
AVFA,AVFAG,Avena fatua L. var. glabrata Peterm.,rubber rabbitbrush,Poaceae
AVFA,AVFAV,Avena fatua L. var. vilis (Wallr.) Hausskn.,rubber rabbitbrush,Poaceae
AVHO3,ABAB3,Avenula hookeri (Scribn.) Holub,spikeoat,Poaceae
AVHO3,AVHO2,Avena hookeri Scribn.,rubber rabbitbrush,Poaceae
AVHO3,AVHO,Avenochloa hookeri (Scribn.) Holub,rubber rabbitbrush,Poaceae
AVHO3,HEHO8,Helictotrichon hookeri (Scribn.) Henr.,rubber rabbitbrush,Poaceae
AVSA,ABAB3,Avena sativa L.,common oat,Poaceae
AVSA,AVBY,Avena byzantina K. Koch,rubber rabbitbrush,Poaceae
AVSA,AVFAS,Avena fatua L. var. sativa (L.) Hausskn.,rubber rabbitbrush,Poaceae
AVSA,AVSAO,Avena sativa L. var. orientalis (Schreb.) Alef.,rubber rabbitbrush,Poaceae
AXAM,ABAB3,Axyris amaranthoides L.,Russian pigweed,Chenopodiaceae
AXYRI,ABAB3,Axyris L.,Russian pigweed,Chenopodiaceae
AZMI,ABAB3,Azolla microphylla Kaulf.,Mexican Mosquito Fern,Azollaceae
AZMI,AZME,Azolla mexicana Schltdl. & Cham. ex C. Presl,rubber rabbitbrush,Azollaceae
AZOLL,ABAB3,Azolla Lam.,mosquitofern,Azollaceae
BAAM4,ABAB3,Bassia americana (S. Watson) A.J. Scott,green molly,Chenopodiaceae
BAAM4,KOAM,Kochia americana S. Watson,rubber rabbitbrush,Chenopodiaceae
BAAM4,KOAMV,Kochia americana S. Watson var. vestita S. Watson,rubber rabbitbrush,Chenopodiaceae
BAAM4,KOVE,Kochia vestita (S. Watson) Rydb.,rubber rabbitbrush,Chenopodiaceae
BAAM4,NEAM,Neokochia americana (S. Watson) G.L. Chu & S.C. Sand.,rubber rabbitbrush,Chenopodiaceae
BACCH,ABAB3,Baccharis L.,baccharis,Asteraceae
BACOP,ABAB3,Bacopa Aubl.,waterhyssop,Scrophulariaceae
BADI,ABAB3,Bahia dissecta (A. Gray) Britton,ragleaf bahia,Asteraceae
BADI,AMDI3,"Amauria dissecta A. Gray, nom. inq.",rubber rabbitbrush,Asteraceae
BADI,AMDI5,Amauriopsis dissecta (A. Gray) Rydb.,rubber rabbitbrush,Asteraceae
BAHIA,ABAB3,Bahia Lag.,bahia,Asteraceae
BAHO,ABAB3,Balsamorhiza hookeri (Hook.) Nutt.,Hooker's balsamroot,Asteraceae
BAHOH2,ABAB3,Balsamorhiza hookeri (Hook.) Nutt. var. hispidula (Sharp) Cronquist,hairy balsamroot,Asteraceae
BAHOH2,BAHI2,Balsamorhiza hispidula Sharp,rubber rabbitbrush,Asteraceae
BAHY,ABAB3,Bassia hyssopifolia (Pall.) Kuntz,fivehorn smotherweed,Chenopodiaceae
BAHY,ECHY,Echinopsilon hyssopifolius (Pall.) Moq.,rubber rabbitbrush,Chenopodiaceae
BAHY,KOHY3,Kochia hyssopifolia (Pall.) Schrad.,rubber rabbitbrush,Chenopodiaceae
BALSA,ABAB3,Balsamorhiza Nutt.,balsamroot,Asteraceae
BAOR,ABAB3,Barbarea orthoceras Ledeb.,American yellowrocket,Brassicaceae
BAOR,BAAM,Barbarea americana Rydb.,rubber rabbitbrush,Brassicaceae
BAOR,BAORD,Barbarea orthoceras Ledeb. var. dolichocarpa Fernald,rubber rabbitbrush,Brassicaceae
BAPR5,ABAB3,Bassia prostrata (L.) A.J. Scott,forage kochia,Chenopodiaceae
BAPR5,KOPR80,Kochia prostrata (L.) Schrad.,rubber rabbitbrush,Chenopodiaceae
BAPR5,KOPRV2,Kochia prostrata (L.) Schrad. var. villosissima Bong. & C.A. Mey.,rubber rabbitbrush,Chenopodiaceae
BARBA,ABAB3,Barbarea W.T. Aiton,yellowrocket,Brassicaceae
BARBU2,ABAB3,Barbula Hedw.,barbula moss,Pottiaceae
BARO,ABAB3,Bacopa rotundifolia (Michx.) Wettst.,disk waterhyssop,Scrophulariaceae
BARO,BANO,Bacopa nobsiana H. Mason,rubber rabbitbrush,Scrophulariaceae
BARO,BASI2,Bacopa simulans Fernald,rubber rabbitbrush,Scrophulariaceae
BARO,BRRO4,Bramia rotundifolia (Michx.) Britton,rubber rabbitbrush,Scrophulariaceae
BARO,HYRO3,Hydranthelium rotundifolium (Michx.) Pennell,rubber rabbitbrush,Scrophulariaceae
BARO,MARO4,Macuillamia rotundifolia (Michx.) Raf.,rubber rabbitbrush,Scrophulariaceae
BASA,ABAB3,Baccharis salicina Torr. & A. Gray,willow baccharis,Asteraceae
BASA3,ABAB3,Balsamorhiza sagittata (Pursh) Nutt.,arrowleaf balsamroot,Asteraceae
BASA4,ABAB3,Baccharis salicifolia (Ruiz & Pav.) Pers.,mule-fat,Asteraceae
BASA4,BAGL2,Baccharis glutinosa Pers.,rubber rabbitbrush,Asteraceae
BASA4,BAVI,Baccharis viminea DC.,rubber rabbitbrush,Asteraceae
BASA4,MOSA5,Molina salicifolia Ruiz & Pav.,rubber rabbitbrush,Asteraceae
BASC5,ABAB3,Bassia scoparia (L.) A.J. Scott,burningbush,Chenopodiaceae
BASC5,BASI4,Bassia sieversiana (Pall.) W.A. Weber,rubber rabbitbrush,Chenopodiaceae
BASC5,KOAL3,Kochia alata Bates,rubber rabbitbrush,Chenopodiaceae
BASC5,KOSC,Kochia scoparia (L.) Schrad.,rubber rabbitbrush,Chenopodiaceae
BASC5,KOSCC,Kochia scoparia (L.) Schrad. var. culta Farw.,rubber rabbitbrush,Chenopodiaceae
BASC5,KOSCP,Kochia scoparia (L.) Schrad. var. pubescens Fenzl,rubber rabbitbrush,Chenopodiaceae
BASC5,KOSCS,Kochia scoparia (L.) Schrad. var. subvillosa Moq.,rubber rabbitbrush,Chenopodiaceae
BASC5,KOSCT,"Kochia scoparia (L.) Schrad. var. trichophila (Stapf) L.H. Bailey, database artifact",rubber rabbitbrush,Chenopodiaceae
BASC5,KOSCT2,Kochia scoparia (L.) Schrad. var. trichophylla (Stapf) L.H. Bailey,rubber rabbitbrush,Chenopodiaceae
BASC5,KOSI3,Kochia sieversiana (Pall.) C.A. Mey.,rubber rabbitbrush,Chenopodiaceae
BASC5,KOTR2,"Kochia trichophila Stapf, database artifact",rubber rabbitbrush,Chenopodiaceae
BASC5,KOTR4,Kochia trichophylla Stapf,rubber rabbitbrush,Chenopodiaceae
BASSI,ABAB3,Bassia All.,smotherweed,Chenopodiaceae
BASSI,KOCHI,Kochia Roth,rubber rabbitbrush,Chenopodiaceae
BAVU,ABAB3,Barbarea vulgaris W.T. Aiton,garden yellowrocket,Brassicaceae
BAVU,BAAR3,Barbarea arcuata (Opiz ex J. Presl & C. Presl) Rchb.,rubber rabbitbrush,Brassicaceae
BAVU,BAST,Barbarea stricta auct. non Andrz.,rubber rabbitbrush,Brassicaceae
BAVU,BAVUA,Barbarea vulgaris W.T. Aiton var. arcuata (Opiz ex J. Presl & C. Presl) Fr.,rubber rabbitbrush,Brassicaceae
BAVU,BAVUB,Barbarea vulgaris W.T. Aiton var. brachycarpa Rouy & Foucaud,rubber rabbitbrush,Brassicaceae
BAVU,BAVUL,Barbarea vulgaris W.T. Aiton var. longisiliquosa Carion,rubber rabbitbrush,Brassicaceae
BAVU,BAVUS,Barbarea vulgaris W.T. Aiton var. sylvestris Fr.,rubber rabbitbrush,Brassicaceae
BAVU,CABA17,Campe barbarea (L.) W. Wight ex Piper,rubber rabbitbrush,Brassicaceae
BAVU,CAST13,Campe stricta auct. non (Andrz.) W. Wight ex Piper,rubber rabbitbrush,Brassicaceae
BAWR,ABAB3,Baccharis wrightii A. Gray,Wright's baccharis,Asteraceae
BEAL,ABAB3,Besseya alpina (A. Gray) Rydb.,alpine besseya,Scrophulariaceae
BEAL,SYAL2,Synthyris alpina A. Gray,rubber rabbitbrush,Scrophulariaceae
BECKM,ABAB3,Beckmannia Host,sloughgrass,Poaceae
BEEA,ABAB3,Betula ×eastwoodiae Sarg. (pro sp.) [nana × occidentalis],birch,Betulaceae
BEEA,BEAR2,Betula ×arbuscula Dugle,rubber rabbitbrush,Betulaceae
BEER,ABAB3,Berula erecta (Huds.) Coville,cutleaf waterparsnip,Apiaceae
BEER,BEERI2,Berula erecta (Huds.) Coville var. incisa (Torr.) Cronquist,rubber rabbitbrush,Apiaceae
BEER,BEIN3,Berula incisa (Torr.) G.N. Jones,rubber rabbitbrush,Apiaceae
BEER,BEPU6,Berula pusilla Fernald,rubber rabbitbrush,Apiaceae
BEER,SIER2,Siella erecta (Huds.) M. Pimen.,rubber rabbitbrush,Apiaceae
BEFE,ABAB3,Berberis fendleri A. Gray,Colorado barberry,Berberidaceae
BEGL,ABAB3,Betula glandulosa Michx.,resin birch,Betulaceae
BEIN2,ABAB3,Berteroa incana (L.) DC.,hoary alyssum,Brassicaceae
BEIN2,ALIN8,Alyssum incanum L.,rubber rabbitbrush,Brassicaceae
BELY,ABAB3,Berlandiera lyrata Benth.,lyreleaf greeneyes,Asteraceae
BELY,BEIN6,Berlandiera incisa Torr. & A. Gray,rubber rabbitbrush,Asteraceae
BELY,BELYM,Berlandiera lyrata Benth. var. macrophylla A. Gray,rubber rabbitbrush,Asteraceae
BENA,ABAB3,Betula nana L.,dwarf birch,Betulaceae
BEOC2,ABAB3,Betula occidentalis Hook.,water birch,Betulaceae
BEOC2,BEBE3,Betula beeniana A. Nelson,rubber rabbitbrush,Betulaceae
BEOC2,BEFO2,Betula fontinalis Sarg.,rubber rabbitbrush,Betulaceae
BEOC2,BEOCI,Betula occidentalis Hook. var. inopina (Jeps.) C.L. Hitchc.,rubber rabbitbrush,Betulaceae
BEOC2,BEPAO,Betula papyrifera Marshall ssp. occidentalis (Hook.) Hultén,rubber rabbitbrush,Betulaceae
BEOC2,BEPAO2,Betula papyrifera Marshall var. occidentalis (Hook.) Sarg.,rubber rabbitbrush,Betulaceae
BEPA,ABAB3,Betula papyrifera Marshall,paper birch,Betulaceae
BEPAP,ABAB3,Betula papyrifera Marshall var. papyrifera,paper birch,Betulaceae
BEPAP,BEALC,Betula alba L. var. commutata Regel,rubber rabbitbrush,Betulaceae
BEPAP,BEPAC,Betula papyrifera Marshall var. commutata (Regel) Fernald,rubber rabbitbrush,Betulaceae
BEPAP,BEPAE,Betula papyrifera Marshall var. elobata (Fernald) Sarg.,rubber rabbitbrush,Betulaceae
BEPAP,BEPAM2,Betula papyrifera Marshall var. macrostachya Fernald,rubber rabbitbrush,Betulaceae
BEPAP,BEPAP2,Betula papyrifera Marshall var. pensilis Fernald,rubber rabbitbrush,Betulaceae
BEPE3,ABAB3,Betula pendula Roth,European white birch,Betulaceae
BEPE3,BEPED,Betula pendula Roth f. dalecarlica (L. f.) C.K. Schneid.,rubber rabbitbrush,Betulaceae
BEPE3,BEVE2,Betula verrucosa Ehrh.,rubber rabbitbrush,Betulaceae
BEPL,ABAB3,Besseya plantaginea (James) Rydb.,White River coraldrops,Scrophulariaceae
BERBE,ABAB3,Berberis L.,barberry,Berberidaceae
BERGI,ABAB3,Bergia L.,bergia,Elatinaceae
BERI,ABAB3,Besseya ritteriana (Eastw.) Rydb.,Ritter's coraldrops,Scrophulariaceae
BERI,SYRI,Synthyris ritteriana Eastw.,rubber rabbitbrush,Scrophulariaceae
BERLA,ABAB3,Berlandiera DC.,greeneyes,Asteraceae
BERTE,ABAB3,Berteroa DC.,false madwort,Brassicaceae
BERUL,ABAB3,Berula Besser ex W.D.J. Koch,waterparsnip,Apiaceae
BESSE,ABAB3,Besseya Rydb.,kittentail,Scrophulariaceae
BESY,ABAB3,Beckmannia syzigachne (Steud.) Fernald,American sloughgrass,Poaceae
BESY,BEER2,Beckmannia eruciformis auct. non (L.) Host,rubber rabbitbrush,Poaceae
BESY,BEERB,Beckmannia eruciformis (L.) Host ssp. baicalensis (Kusnez.) Hultén,rubber rabbitbrush,Poaceae
BESY,BEERU,Beckmannia eruciformis (L.) Host var. uniflora Scribn. ex A. Gray,rubber rabbitbrush,Poaceae
BESY,BESYB,Beckmannia syzigachne (Steud.) Fernald ssp. baicalensis (Kusnez.) Koyama & Kawano,rubber rabbitbrush,Poaceae
BESY,BESYU,Beckmannia syzigachne (Steud.) Fernald var. uniflora (Scribn. ex A. Gray) B. Boivin,rubber rabbitbrush,Poaceae
BETE,ABAB3,Bergia texana (Hook.) Seub. ex Walp.,Texas bergia,Elatinaceae
BETE,ELTE2,Elatine texana Hook.,rubber rabbitbrush,Elatinaceae
BETUL,ABAB3,Betula L.,birch,Betulaceae
BEUT,ABAB3,Betula ×utahensis Britton (pro sp.) [occidentalis × papyrifera],birch,Betulaceae
BEUT,BEAN,Betula andrewsii A. Nelson,rubber rabbitbrush,Betulaceae
BEUT,BECO4,Betula ×commixta Sarg.,rubber rabbitbrush,Betulaceae
BEUT,BEOCF2,Betula occidentalis Hook. var. fecunda Fernald,rubber rabbitbrush,Betulaceae
BEUT,BEPAS,Betula papyrifera Marshall var. subcordata (Rydb.) Sarg.,rubber rabbitbrush,Betulaceae
BEUT,BEPI3,Betula piperi Britton,rubber rabbitbrush,Betulaceae
BEVU,ABAB3,Berberis vulgaris L.,common barberry,Berberidaceae
BEWY,ABAB3,Besseya wyomingensis (A. Nelson) Rydb.,Wyoming besseya,Scrophulariaceae
BEWY,BECI2,Besseya cinerea (Raf.) Pennell,rubber rabbitbrush,Scrophulariaceae
BIAR,ABAB3,Bidens aristosa (Michx.) Britton,bearded beggarticks,Asteraceae
BIAR,BIARF,Bidens aristosa (Michx.) Britton var. fritcheyi Fernald,rubber rabbitbrush,Asteraceae
BIAR,BIARM,Bidens aristosa (Michx.) Britton var. mutica (A. Gray) Gattinger,rubber rabbitbrush,Asteraceae
BIAR,BIARR,Bidens aristosa (Michx.) Britton var. retrorsa (Sherff) Wunderlin,rubber rabbitbrush,Asteraceae
BIAR,BIIN2,Bidens involucrata (Nutt.) Britton,rubber rabbitbrush,Asteraceae
BIAR,BIPO,Bidens polylepis S.F. Blake,rubber rabbitbrush,Asteraceae
BIAR,BIPOR,Bidens polylepis S.F. Blake var. retrorsa Sherff,rubber rabbitbrush,Asteraceae
BIBI,ABAB3,Bidens bigelovii A. Gray,Bigelow's beggarticks,Asteraceae
BIBI7,ABAB3,Bidens bipinnata L.,Spanish needles,Asteraceae
BIBI7,BIBIB,Bidens bipinnata L. var. biternatoides Sherff,rubber rabbitbrush,Asteraceae
BIBIB2,ABAB3,Bidens bigelovii A. Gray var. bigelovii,Bigelow's beggarticks,Asteraceae
BICE,ABAB3,Bidens cernua L.,nodding beggartick,Asteraceae
BICE,BICEC,Bidens cernua L. var. cernua,rubber rabbitbrush,Asteraceae
BICE,BICED,Bidens cernua L. var. dentata (Nutt.) B. Boivin,rubber rabbitbrush,Asteraceae
BICE,BICEE,Bidens cernua L. var. elliptica Wiegand,rubber rabbitbrush,Asteraceae
BICE,BICEI,Bidens cernua L. var. integra Wiegand,rubber rabbitbrush,Asteraceae
BICE,BICEM,Bidens cernua L. var. minima (Huds.) Pursh,rubber rabbitbrush,Asteraceae
BICE,BICEO,Bidens cernua L. var. oligodonta Fernald & H. St. John,rubber rabbitbrush,Asteraceae
BICE,BICER,Bidens cernua L. var. radiata DC.,rubber rabbitbrush,Asteraceae
BICE,BIGL,Bidens glaucescens Greene,rubber rabbitbrush,Asteraceae
BIDEN,ABAB3,Bidens L.,beggarticks,Asteraceae
BIFR,ABAB3,Bidens frondosa L.,devil's beggartick,Asteraceae
BIFR,BIFRA,Bidens frondosa L. var. anomala Porter ex Fernald,rubber rabbitbrush,Asteraceae
BIFR,BIFRC,Bidens frondosa L. var. caudata Sherff,rubber rabbitbrush,Asteraceae
BIFR,BIFRP,Bidens frondosa L. var. pallida Wiegand,rubber rabbitbrush,Asteraceae
BIFR,BIFRS,Bidens frondosa L. var. stenodonta Fernald & H. St. John,rubber rabbitbrush,Asteraceae
BITE,ABAB3,Bidens tenuisecta A. Gray,slimlobe beggarticks,Asteraceae
BITR,ABAB3,Bidens tripartita L.,threelobe beggarticks,Asteraceae
BITR,BIAC,Bidens acuta (Wiegand) Britton,rubber rabbitbrush,Asteraceae
BITR,BICO3,Bidens comosa (A. Gray) Wiegand,rubber rabbitbrush,Asteraceae
BIVU,ABAB3,Bidens vulgata Greene,big devils beggartick,Asteraceae
BIVU,BIFRP2,Bidens frondosa L. var. puberula Wiegand,rubber rabbitbrush,Asteraceae
BIVU,BIPU2,Bidens puberula (Wiegand) Rydb.,rubber rabbitbrush,Asteraceae
BIVU,BIVUP,Bidens vulgata Greene var. puberula (Wiegand) Greene,rubber rabbitbrush,Asteraceae
BIVU,BIVUS,Bidens vulgata Greene var. schizantha Lunell,rubber rabbitbrush,Asteraceae
BLEPH4,ABAB3,Blepharoneuron Nash,dropseed,Poaceae
BLTR,ABAB3,Blepharoneuron tricholepis (Torr.) Nash,pine dropseed,Poaceae
BLTR,VITR12,Vilfa tricholepis Torr.,rubber rabbitbrush,Poaceae
BOBA2,ABAB3,Bouteloua barbata Lag.,sixweeks grama,Poaceae
BOBA2,BOAR3,Bouteloua arenosa Vasey,rubber rabbitbrush,Poaceae
BOBA2,BOBAB3,Bouteloua barbata Lag. var. barbata,rubber rabbitbrush,Poaceae
BOBA2,CHBA12,Chondrosum barbata (Lag.) W.D. Clayton,rubber rabbitbrush,Poaceae
BOBA2,CHEX3,Chondrosum exile Fourn.,rubber rabbitbrush,Poaceae
BOBA2,CHMI15,Chondrosum microstachyum Fourn.,rubber rabbitbrush,Poaceae
BOBA2,CHPO9,Chondrosum polystachyum Benth.,rubber rabbitbrush,Poaceae
BOBA2,CHSU12,Chondrosum subscorpioides Müll. Hal.,rubber rabbitbrush,Poaceae
BOBA3,ABAB3,Bothriochloa barbinodis (Lag.) Herter,cane bluestem,Poaceae
BOBA3,ANBA6,Andropogon barbinodis Lag.,rubber rabbitbrush,Poaceae
BOBA3,ANPE14,Andropogon perforatus Trin. ex Fourn.,rubber rabbitbrush,Poaceae
BOBA3,BOBAP2,Bothriochloa barbinodis (Lag.) Herter var. palmeri (Hack.) de Wet,rubber rabbitbrush,Poaceae
BOBA3,BOBAP,Bothriochloa barbinodis (Lag.) Herter var. perforata (Trin. ex Fourn.) Gould,rubber rabbitbrush,Poaceae
BOBA3,BOPA4,Bothriochloa palmeri (Hack.) Gould,rubber rabbitbrush,Poaceae
BOBL,ABAB3,Bothriochloa bladhii (Retz.) S.T. Blake,Caucasian bluestem,Poaceae
BOBL,ANBL3,Andropogon bladhii Retz.,rubber rabbitbrush,Poaceae
BOBL,ANCA20,Andropogon caucasicus Trin.,rubber rabbitbrush,Poaceae
BOBL,ANIN7,Andropogon intermedius R. Br.,rubber rabbitbrush,Poaceae
BOBL,BOCA3,Bothriochloa caucasica (Trin.) C.E. Hubbard,rubber rabbitbrush,Poaceae
BOBL,BOIN80,Bothriochloa intermedia (R. Br.) A. Camus,rubber rabbitbrush,Poaceae
BOCA5,ABAB3,Botrychium campestre W.H. Wagner & Farrar,Iowa moonwort,Ophioglossaceae
BOCU,ABAB3,Bouteloua curtipendula (Michx.) Torr.,sideoats grama,Poaceae
BOCUC,ABAB3,Bouteloua curtipendula (Michx.) Torr. var. caespitosa Gould & Kapadia,sideoats grama,Poaceae
BOCUC2,ABAB3,Bouteloua curtipendula (Michx.) Torr. var. curtipendula,sideoats grama,Poaceae
BOCUC2,ATCU2,Atheropogon curtipendulus (Michx.) Fourn.,rubber rabbitbrush,Poaceae
BOCUC2,CHCU8,Chloris curtipendula Michx.,rubber rabbitbrush,Poaceae
BODA2,ABAB3,Bouteloua dactyloides (Nutt.) J.T. Columbus,buffalograss,Poaceae
BODA2,BUDA,Buchloe dactyloides (Nutt.) Engelm.,rubber rabbitbrush,Poaceae
BODA2,BUDA3,Bulbilis dactyloides (Nutt.) Raf. ex Kuntze,rubber rabbitbrush,Poaceae
BODA2,SEDA,Sesleria dactyloides Nutt.,rubber rabbitbrush,Poaceae
BOEC,ABAB3,Botrychium echo W.H. Wagner,reflected grapefern,Ophioglossaceae
BOER,ABAB3,Boerhavia erecta L.,erect spiderling,Nyctaginaceae
BOER4,ABAB3,Bouteloua eriopoda (Torr.) Torr.,black grama,Poaceae
BOER4,CHER4,Chondrosum eriopodum Torr.,rubber rabbitbrush,Poaceae
BOERH2,ABAB3,Boerhavia L.,spiderling,Nyctaginaceae
BOFL3,ABAB3,Bolboschoenus fluviatilis (Torr.) Soják,river bulrush,Cyperaceae
BOFL3,BOMAF,Bolboschoenus maritimus (L.) Palla ssp. fluviatilis (Torr.) Á. Löve & D. Löve,rubber rabbitbrush,Cyperaceae
BOFL3,SCFL11,Schoenoplectus fluviatilis (Torr.) M.T. Strong,rubber rabbitbrush,Cyperaceae
BOFL3,SCFL,Scirpus fluviatilis (Torr.) A. Gray,rubber rabbitbrush,Cyperaceae
BOFL3,SCMAF2,Scirpus maritimus L. var. fluviatilis Torr.,rubber rabbitbrush,Cyperaceae
BOGR2,ABAB3,Bouteloua gracilis (Willd. ex Kunth) Lag. ex Griffiths,blue grama,Poaceae
BOGR2,BOGRS,Bouteloua gracilis (Willd. ex Kunth) Lag. ex Griffiths var. stricta (Vasey) Hitchc.,rubber rabbitbrush,Poaceae
BOGR2,BOOL,Bouteloua oligostachya (Nutt.) Torr. ex A. Gray,rubber rabbitbrush,Poaceae
BOGR2,CHGR15,Chondrosum gracile Willd. ex Kunth,rubber rabbitbrush,Poaceae
BOGR2,CHOL5,Chondrosum oligostachyum (Nutt.) Torr.,rubber rabbitbrush,Poaceae
BOHE5,ABAB3,Botrychium hesperium (Maxon & R.T. Clausen) W.H. Wagner & Lellinger,western moonwort,Ophioglossaceae
BOHE5,BOLUO3,Botrychium lunaria (L.) Sw. ssp. occidentale Á. Löve & D. Löve & Kapoor,rubber rabbitbrush,Ophioglossaceae
BOHE5,BOMAH,Botrychium matricariifolium (A. Braun ex Dowell) A. Braun ex W.D.J. Koch ssp. hesperium Maxon & R.T. Clausen,rubber rabbitbrush,Ophioglossaceae
BOHE5,BOMAH2,Botrychium matricariifolium (A. Braun ex Dowell) A. Braun ex W.D.J. Koch var. hesperium (Maxon & R.T. Clausen) Broun,rubber rabbitbrush,Ophioglossaceae
BOHI2,ABAB3,Bouteloua hirsuta Lag.,hairy grama,Poaceae
