Symbol,Synonym Symbol,Scientific Name with Author,National Common Name,Family
ERUMM,ABAB3,Eriogonum umbellatum Torr. var. majus Hook.,sulphur-flower buckwheat,Polygonaceae
ERUMM,ERHES4,Eriogonum heracleoides Nutt. var. subalpinum (Greene) S. Stokes,rubber rabbitbrush,Polygonaceae
ERUMM,ERSU11,Eriogonum subalpinum Greene,rubber rabbitbrush,Polygonaceae
ERUMM,ERUMM8,Eriogonum umbellatum Torr. ssp. majus (Hook.) Piper,rubber rabbitbrush,Polygonaceae
ERUMM,ERUMS7,Eriogonum umbellatum Torr. var. subalpinum (Greene) M.E. Jones,rubber rabbitbrush,Polygonaceae
ERUMP2,ABAB3,Eriogonum umbellatum Torr. var. porteri (Small) S. Stokes,sulphur-flower buckwheat,Polygonaceae
ERUMS2,ABAB3,Eriogonum umbellatum Torr. var. subaridum S. Stokes,sulphur-flower buckwheat,Polygonaceae
ERUMS2,ERUMF2,Eriogonum umbellatum Torr. ssp. ferrissii (A. Nelson) S. Stokes,rubber rabbitbrush,Polygonaceae
ERUMS2,ERUMS6,Eriogonum umbellatum Torr. ssp. subaridum (S. Stokes) Munz,rubber rabbitbrush,Polygonaceae
ERUMU2,ABAB3,Eriogonum umbellatum Torr. var. umbellatum,sulphur-flower buckwheat,Polygonaceae
ERUR2,ABAB3,Erigeron ursinus D.C. Eaton,Bear River fleabane,Asteraceae
ERUT,ABAB3,Erigeron utahensis A. Gray,Utah fleabane,Asteraceae
ERUTS,ABAB3,Erigeron utahensis A. Gray var. sparsifolius (Eastw.) Cronquist,Utah fleabane,Asteraceae
ERUTU,ABAB3,Erigeron utahensis A. Gray var. utahensis,Utah fleabane,Asteraceae
ERUTU,ERUTT,Erigeron utahensis A. Gray var. tetrapleuris (A. Gray) Cronquist,rubber rabbitbrush,Asteraceae
ERVA3,ABAB3,Erigeron vagus Payson,rambling fleabane,Asteraceae
ERVE2,ABAB3,Erigeron vetensis Rydb.,early bluetop fleabane,Asteraceae
ERVI13,ABAB3,Eriogonum viridulum Reveal,clay hill buckwheat,Polygonaceae
ERVI13,ERBRV,Eriogonum brevicaule Nutt. var. viridulum (Reveal) S.L. Welsh,rubber rabbitbrush,Polygonaceae
ERVI3,ABAB3,Eriochloa villosa (Thunb.) Kunth,hairy cupgrass,Poaceae
ERVI3,PAVI10,Paspalum villosum Thunb.,rubber rabbitbrush,Poaceae
ERVI9,ABAB3,Eriophorum viridicarinatum (Engelm.) Fernald,thinleaf cottonsedge,Cyperaceae
ERVR,ABAB3,Erigeron vreelandii Greene,Vreeland's erigeron,Asteraceae
ERVR,ERPL7,Erigeron platyphyllus Greene,rubber rabbitbrush,Asteraceae
ERWE,ABAB3,Eriogonum wetherillii Eastw.,Wetherill's buckwheat,Polygonaceae
ERWE,ERSE7,Eriogonum sessile S. Stokes ex M.E. Jones,rubber rabbitbrush,Polygonaceae
ERWI2,ABAB3,Erigeron wilkenii O'Kane,Dieter's erigeron,Asteraceae
ERYNG,ABAB3,Eryngium L.,eryngo,Apiaceae
ERYSI,ABAB3,Erysimum L.,wallflower,Brassicaceae
ERYTH3,ABAB3,Erythronium L.,fawnlily,Liliaceae
ESCA2,ABAB3,Eschscholzia californica Cham.,California poppy,Papaveraceae
ESCAC,ABAB3,Eschscholzia californica Cham. ssp. californica,California poppy,Papaveraceae
ESCAC,ESCAC2,Eschscholzia californica Cham. var. crocea (Benth.) Jeps.,rubber rabbitbrush,Papaveraceae
ESCAC,ESCAD,Eschscholzia californica Cham. var. douglasii (Benth.) A. Gray,rubber rabbitbrush,Papaveraceae
ESCAC,ESCAM2,Eschscholzia californica Cham. var. maritima (Greene) Jeps.,rubber rabbitbrush,Papaveraceae
ESCAC,ESCAP,Eschscholzia californica Cham. var. peninsularis (Greene) Munz,rubber rabbitbrush,Papaveraceae
ESCAC,ESPR,Eschscholzia procera Greene,rubber rabbitbrush,Papaveraceae
ESCHS,ABAB3,Eschscholzia Cham.,California poppy,Papaveraceae
ESCOB,ABAB3,Escobaria Britton & Rose,foxtail cactus,Cactaceae
ESMI3,ABAB3,Escobaria missouriensis (Sweet) D.R. Hunt,Missouri foxtail cactus,Cactaceae
ESMI3,COMI5,Coryphantha missouriensis (Sweet) Britton & Rose,rubber rabbitbrush,Cactaceae
ESMI3,COMIC,Coryphantha missouriensis (Sweet) Britton & Rose var. caespitosa (Engelm.) L.D. Benson,rubber rabbitbrush,Cactaceae
ESMI3,COMIR,Coryphantha missouriensis (Sweet) Britton & Rose var. robustior (Engelm.) L.D. Benson,rubber rabbitbrush,Cactaceae
ESMI3,COSI5,Coryphantha similis (Engelm.) Britton & Rose,rubber rabbitbrush,Cactaceae
ESMI3,ESMIN,Escobaria missouriensis (Sweet) D.R. Hunt ssp. navajoensis Hochstätter,rubber rabbitbrush,Cactaceae
ESMI3,ESMIC,Escobaria missouriensis (Sweet) D.R. Hunt var. caespitosa (Engelm.) D.R. Hunt,rubber rabbitbrush,Cactaceae
ESMI3,ESMIM2,Escobaria missouriensis (Sweet) D.R. Hunt var. missouriensis,rubber rabbitbrush,Cactaceae
ESMI3,ESMIR,Escobaria missouriensis (Sweet) D.R. Hunt var. robustior (Engelm.) D.R. Hunt,rubber rabbitbrush,Cactaceae
ESMI3,ESMIS,Escobaria missouriensis (Sweet) D.R. Hunt var. similis (Engelm.) N.P. Taylor,rubber rabbitbrush,Cactaceae
